理學院 數學系應修科目表（114學年度入學新生適用）- 數學科學組,,,,,,,,,,
科目,課名及課號,,學分數,,,,,,,
,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,上,下,上,下,上,下,上,下
共同 必修,國文,,5,,,,,,,
,外文,,3,3,,,,,,
,體育課程,,0,0,0,0,0,,,
,服務學習課程,,0,0,,,,,,
,通識課程(含核心必修、選修科目),,14,,,,,,,
組訂 必修,微積分 MA1001 / MA1002,,4,4,,,,,,
,線性代數I / II MA2007 / MA2008,,3,3,,,,,,
,基礎數學 MA1015,,3,,,,,,,
,計算機概論I MA1013,,,3,,,,,,
,三 科 擇 一,普通物理B PH1033 / PH1034,3/3,,,,,,,
,,普通化學 I / II CM1009 / CM1010,3/3,,,,,,,
,,普通生物學 I / II LS1013 / LS1014,3/3,,,,,,,
,高等微積分 I / II MA2045 / MA2046,,,,4,4,,,,
,代數 I MA2025,,,,3,,,,,
,微分方程 I MA2041,,,,3,,,,,
,機率論 MA2021,,,,,3,,,,
,複變函數論 I MA3015,,,,,,3,,,
組訂 核心 選修,代數 II MA2026,,,,,3,,,,
,微分方程 II MA2042,,,,,3,,,,
,程式語言及其應用 MA2051,,,,,,3,,,
,數理統計 I MA3025,,,,,,3,,,
,高等微積分 III MA2047,,,,,,3,,,
,離散數學 I MA3034,,,,,,3,,,
,幾何學 I MA4005,,,,,,,3,,
,近世代數 MA3036,,,,,,,3,,
,拓樸學 MA3003,,,,,,,3,,
備註,一、共同必修 1 共同科目修習及其他畢業條件，請見應修科目表注意事項。 2 本系新生外文課程可從三種外文課程中任選一種： (1)「大一英文」科學課群6學分。 (2)英文系開設之其他英文課程修滿6學分。 (3)語言中心開設或認定之第二外語課程，但同一外語課程必須修滿6學分。 3 選修「進修英文」取得之學分，不列入本系之畢業學分總數。 4 通識核心必修四大領域中至少須修習一個領域。通識課程最多認定24學分，超過部份不列入最低畢業 學分。 二、組訂必修、組訂核心選修 1 最低畢業學分為128學分：共同必修科目25學分，組訂必修科目46學分，組訂核心選修科目12學分。另 修數學系所12學分課程。 2 「微積分」上下學期成績平均及格者，方得修習「高等微積分Ⅰ」；「高等微積分Ⅰ」成績至少50分 者，方得修習「高等微積分Ⅱ」及「高等微積分Ⅲ」；「高等微積分Ⅰ」成績及格者，方得修習「複 變函數論Ⅰ」；「計算機概論I」成績及格者，方得修習「程式語言及其應用」；「機率論」成績及格 者，方得修習「數理統計Ⅰ」。 3 「計算機概論I」需於本系修習，不得以外系之計算機概論相關課程進行抵修。 三、雙主修規定：依本校「學生修讀雙主修辦法」辦理。,,,,,,,,,
