,,,,熱交換器 ER6003,,,,,,,3,
,,,,應用熱傳 ME4081,,,,,,,3,
,,,,感測原理 ME3056,,,,,3,,,
,,智 慧 系 統 軟 體 技 術 (21 ),基礎課程 六選二(6),Python程式設計 ME4301,,,3,,,,,
,,,,程式設計與應用ME3099,,,,,,3,,
,,,,電腦網路及程式 ME2025,,,,3,,,,
,,,,線性代數,,,3,,,,,
,,,,機率與統計 CE2006,,,3,,,,,
,,,,演算法,,,,,3,,,
,,,進階課程 六選二(6),製造聯網技術 ME5204,,,,,3,,,
,,,,人工智慧 ME5302,,,,,,3,,
,,,,影像工程概論 ME5071,,,,,,3,,
,,,,資料科學與機器學習 IM5033,,,,,,,3,
,,,,人工智慧與機器學習 IM3078,,,,,,,,3
,,,,Python與機器學習 ME6104,,,,,,,,3
,,,其他選修 課程(9),人工智慧與設計思考 ME5209,,,,,3,,,
,,,,深度學習與電腦視覺應用 ME5208,,,,,,,3,
,,,,嵌入式系統設計 CE5045,,,,,3,,,
,,,,雲端運算概論 SE6023,,,,,,3,,
,,,,機器視覺與智能手臂應用 ME4203,,,,,,,,
,,,,工業機器人原理與自動化應用 ME4202,,,,,,3,,
,,,,深度學習專案設計ME5301,,,,,,,3,
,,智 慧 生 產 系 統 管 理 (21 ),管理基礎 課程五選 三(9),資訊管理,,,,3,,,,
,,,,管理數學,,,,,3,,,
,,,,管理學,,,,,,3,,
,,,,作業研究,,,,,,3,,
,,,,生產與作業管理,,,,,,3,,
,,,製造系統 課程八選 三(9),製造聯網技術 ME5204,,,,,3,,,
,,,,生產與作業管理,,,,,,3,,
,,,,ERP全球運籌管理,,,,,,,3,
,,,,物聯網CE5074,,,,,,,,3
,,,,規劃與排程,,,,,,,,3
,,,,製造系統設計與分析,,,,,,,3,
,,,,自動化物料搬運系統,,,,,,,3,
,,,,品質工程,,,,,,,3,
,,,方法論與 製造策略 課程四選 一(3),商業分析程式語言,,,,,3,,,
,,,,ERP企業流程管理,,,,,,,3,
,,,,資料挖礦,,,,,,,3,
,,,,德國工業4.0模式,,,,,,,,3
,,自主跨域選修 (21),,學生需在指導教授指導下，自主擬訂 符合學習方向之「選修課程計畫書」 ，並經「教學與輔導委員會」審查通 過後，始可依「選修課程計畫書」選 課修讀。,,,,,,,,
,其他智慧機械相關課程(6),,,,,,,,,,,
備註,領域必修科目計35學分，領域選修科目學分計27學分，最低畢業學分：128學分。,,,,,,,,,,,
