理學院 理學院學士班物理領域應修科目表 (114學年度入學新生適用),,,,,,,,,,
科目,,課名及課號,學分數,,,,,,,
,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,上,下,上,下,上,下,上,下
領域 專長 必修,,力學 PH1027,,,4,,,,,
,,電磁學 PH1028,,,,4,,,,
,,量子物理 PH3009,,,,,,3,,
,,熱物理 PH3011,,,,,3,,,
領域 專長 選修,,實驗物理與方法 I PH1029 / PH1030,,,6,6,,,,
,,應用數學 PH2003 / PH2004,,,3/3,,,,,
,,實驗物理與方法 II PH2029 / PH2030,,,,,6,6,,
,,波動物理學 PH2010,,,,,3,,,
,,普通天文學 I/II PH2033/PH2034,,,3/3,,,,,
,,近代物理導論PH2035,,,3/3,,,,,
,,量子力學導論PH3008,,,,,3,,,
,,量子與統計物理 PH3010,,,,,3,,,
,,物理數學 I/ II PH3029/PH3030,,,,,3/3,,,
,,近代物理實驗PH3036,,,,,3,,,
,,固態物理導論 PH3042,,,,,3,,,
,,天文觀測 I PH3045,,,,,3,,,
,,生物物理導論 PH3048,,,,,3,,,
,,天文物理導論 PH3054,,,,,3,,,
,,計算物理導論 PH3057,,,,,3,,,
,,光學 I/II PH3059/PH3060,,,,,3/3,,,
,,電子學(含實驗)I/II PH3063/PH3064,,,,,3/3,,,
,,用 Python做天文物理 PH3066,,,,,3,,,
,,流體力學導論 PH4029,,,,,3,,,
,,相對論導論 PH4035,,,,,3,,,
,,高能物理導論 PH4040,,,,,3,,,
,,量子力學 I/II PH6003/PH6004,,,,,,,3/3,
,,電動力學 I/II PH6005/PH6006,,,,,,,3/3,
,,古典力學 I/II PH6007/PH6008,,,,,,,3/3,
,,統計力學 I PH6012,,,,,,,3/3,
,,計算物理 PH6013,,,,,3,,,
,,量子場論 I PH6029,,,,,3,,,
,,流體力學 PH6031,,,,,3,,,
,,電漿物理 PH6032,,,,,3,,,
,,固態物理I PH6033,,,,,3,,,
,,量子場論 PH6048,,,,,3,,,
,,統計力學II PH6049,,,,,3,,,
,,原子分子物理 PH6058,,,,,3,,,
,,生物物理 PH6059,,,,,3,,,
,,非線性動力學 PH6070,,,,,3,,,
,,群論與對稱 PH7009,,,,,3,,,
,,廣義相對論 PH7014,,,,,3,,,
,,表面物理 PH7015,,,,,3,,,
,,軟凝體物理 PH7024,,,,,3,,,
,,複雜系統 PH7030,,,,,3,,,
,,量子計算與量子資訊 PH7044,,,,,3,,,
,,現代宇宙學 PH7046,,,,,3,,,
,,重力波與多重訊息觀測 PH7062,,,,,3,,,
,,量子光學 PH7064,,,,,3,,,
備 註,1,第一領域專長需修習至少33學分(必修14學分)。英文組第一領域專長需修習至少24學分(必修14學分)。,,,,,,,,
,2,第二領域專長需修習至少20學分(必修14學分)。英文組第二領域專長需修習至少14學分(必修14學分)。,,,,,,,,
