生醫理工學院 生命科學系應修科目表（114學年度入學新生適用）,,,,,,,,,
科目,課名及課號,學分數,,,,,,,
,,第一學年,,第二學年,,第三學年,,第四學年,
,,上,下,上,下,上,下,上,下
共同 必修,國文,5,,,,,,,
,外文,3,3,,,,,,
,體育課程,0,0,0,0,0,,,
,服務學習課程,0,0,,,,,,
,通識課程(含核心必修、選修科目),14,,,,,,,
學院 必修,生物統計學-R語言HT3001,,,,,3,,,
,微積分 MA1001,4,,,,,,,
,普通化學 CM1009 / CM1010,3,3,,,,,,
,普通化學實驗 CM1008,1,,,,,,,
,普通生物學 LS1001 / LS1002,3,3,,,,,,
,普通生物學實驗 LS1003 / LS1004,1,1,,,,,,
,普通物理B PH1038,,3,,,,,,
,有機化學 LS2005 / LS2006,,,3,3,,,,
,生物化學 LS2001 / LS2002,,,3,3,,,,
,生物化學實驗 LS2003 / LS2004,,,1,1,,,,
,微生物學 LS3003,,,3,,,,,
,植物生理學 LS3001,,,,3,,,,
,植物生理學實驗 LS2014,,,,1,,,,
,細胞學 LS2019 / LS2020,,,,,2,2,,
,遺傳學 LS2010,,,,,3,,,
,分子生物學 LS3035/ LS3036,,,,,2,2,,
,動物生理學 LS3018,,,,,,4,,
,動物生理學實驗 LS3020,,,,,,1,,
,書報討論 I / II LS4001 / LS4002,,,,,,,1,1
