理學院 理學院學士班生醫領域應修科目表 (114學年度入學新生適用),,,,,,,,,,
科目,,課名及課號,學分數,,,,,,,
,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,上,下,上,下,上,下,上,下
領域 專長 必修,A組,醫療器材設計原理及其應用 BM2014,,,3,,,,,
,,儀器分析 BM2039,,,,3,,,,
,,細胞分子生物學 BM2045,,,,2,,,,
,,生物統計學-R語言應用 HT3001,,,,,3,,,
,,材料科學導論 BM3006,,,,,,3,,
,,分子醫學 BM3032,,,,,2,,,
,B組,電子電路學 BM2012,,,3,,,,,
,,電子電路學實驗 BM2013,,,,1,,,,
,,醫療器材設計原理及其應用 BM2014,,,3,,,,,
,,儀器分析 BM2039,,,,3,,,,
,,生物統計學-R語言應用 HT3001,,,,,3,,,
,,材料科學導論 BM3006,,,,,,3,,
領域 專長 選修,A組,認知心理學概論 BM1010,,3,,,,,,
,,認知神經科學 BM2005,,,3,,,,,
,,工程數學 (上)(下) BM2010 / BM2011,,,3,3,,,,
,,電子電路學 BM2012,,,3,,,,,
,,電子電路學實驗 BM2013,,,,1,,,,
,,數據科學導論 BM3018,,,,,3,,,
,,統計機器學習基礎 BM3029,,,,,,3,,
,,生醫技術暨微奈米晶片設計與應用 BM3033,,,,,3,,,
,B組,人工智慧程式入門 BM1011,,3,,,,,,
,,工程數學 (上)(下) BM2010 / BM2011,,,3,3,,,,
,,資料結構 BM2040,,,,3,,,,
,,作業系統概論 BM2041,,,,3,,,,
,,醫用物理 BM2042,,,,3,,,,
,,微電子學 BM2043,,,,3,,,,
,,演算法 BM3022,,,,,,3,,
,,線性代數 BM3023,,,3,,,,,
,,訊號與系統 BM3027,,,,,3,,,
,,微處理器與嵌入式系統 BM3028,,,,,3,,,
,,統計機器學習基礎 BM3029,,,,,,3,,
備註,1,A組等同「生醫科學組」，B組等同「醫學工程與資料科學組」。,,,,,,,,
,2,A組、B組第一領域專長需修習至少33學分(必修16學分)。英文組第一領域專長至少24學分(必修16學分)。,,,,,,,,
,3,A組、B組第二領域專長需修習至少20學分(必修16學分)。英文組第一領域專長至少16學分(必修16學分)。,,,,,,,,
