科 目,課名及課號,,學分數,,,,,,,
,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,上,下,上,下,上,下,上,下
共同 必修,國文,,5,,,,,,,
,外文,,3,3,,,,,,
,體育課程,,0,0,0,0,0,,,
,服務學習課程,,0,0,,,,,,
,通識課程(含核心必修、選修科目),,14,,,,,,,
院訂 必修,經濟學 MT1011 / MT1012,,3,3,,,,,,
,企業概論 MT1021,,,3,,,,,,
,會計學 MT1031 / MT1032,,3,3,,,,,,
,統計學 MT2041 / MT2042,,,,3,3,,,,
,程式設計:Python MT1051,,3,,,,,,,
系訂 必修,微積分 MA1005 / MA1006,,3,3,,,,,,
,個體經濟學 EC2003 / EC2004,,,,3,3,,,,
,總體經濟學 EC2005 / EC2006,,,,3,3,,,,
,六科 擇三,貨幣銀行學 EC3077,,,,,3,,,
,,中央銀行與金融機構 EC2054,,,,,,3,,
,,公共經濟學 EC3112,,,,,3,,,
,,財政學 EC3079,,,,,,3,,
,,資料分析 EC3117,,,,,3,,,
,,計量經濟學 EC3018,,,,,,3,,
,國際金融 EC3072,,,,,,3,,,
,國際貿易 EC3071,,,,,,,3,,
,當前經濟議題EC4018,,,,,,,,3,
備註,一 、共同必修 1 共同科目修習及其他畢業條件，請見應修科目表注意事項。 2 本系新生外文課程：一律必修「大一英文」管理課群6學分。 3 選修「進修英文」取得之學分，不列入本系之畢業學分總數。 4 通識課程之核心必修為四大領域中任選三大領域修習，並此三大領域至少各修習一門課。經濟學 相關課程一律不計入14通識學分(清單請至經濟系辦查詢)。 二 、院、系訂必修 1 必修科目計85學分，最低畢業學分：128 2 修業期限內至少修習且通過本系選修科目23學分。 3 除校定通識學分外，通識學分至多認列6學分為最低畢業學分。 4 管院「數位素養」必選課程6學分，範圍包括： (1) 「企業資源規劃」學分學程修課表中所列課程。 (2) 「商業智慧與分析」學分學程修課表中所列課程。(排除EC課號課程) (3) 「金融科技」學分學程修課表中所列 IM 開頭課號課程。(排除EC課號課程) (4) 本系課程委員會承認之數位商品課程。 三 、雙主修規定 1 依本校「學生修讀雙主修辦法」辦理。 2 專業必修科目計60學分，本系選修科目任選14學分。,,,,,,,,,
