資訊電機學院學士班 網路工程 專長領域應修科目表(114學年度入學新生適用-附表四),,,,,,,,,
科目,課名及課號,學分數,,,,,,,
,,第一學年,,第二學年,,第三學年,,第四學年,
,,上,下,上,下,上,下,上,下
必修學分 (31),計算機概論 II CE1002,3 (已列為院訂必選),,,,,,,
,計算機實習 II CE1004,1(已列為院訂必選),,,,,,,
,離散數學 CE2003,3(已列為院訂必選),,,,,,,
,機率/機率/機率與統計 CO3003/EE4020/CE2006,3,,,,,,,
,資料結構 CO2012/CE2002/EE2007,3,,,,,,,
,微算機原理/微算機原理與 實作/組合語言與系統程式 CO3006/EE3046/CE2012,3,,,,,,,
,網路概論/計算機網路 CO3005/CE3007,3,,,,,,,
,作業系統CE3002,3,,,,,,,
,計算機組織/計算機組織/計 算機組織 CO3020/CE3001/EE3035,3,,,,,,,
,信號與系統/訊號與系統 EE3009/CO3004,3,,,,,,,
,演算法/演算法 CE3005/CO2014,3,,,,,,,
,1.選擇本專長領域者，應修習並通過必修31學分、資通訊與電通訊實驗群組Δ課程至少6學分、及資電學院開授 課程至少21學分。,,,,,,,,
,2.資通訊與電通訊實驗群組Δ課程詳見電機系及通訊系課程列表。,,,,,,,,
