科目,課名及課號,,學分數,,,,,,,
,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,上,下,上,下,上,下,上,下
,國文,,5,,,,,,,
,外文,,3,3,,,,,,
共同 必修,體育課程,,0,0,0,0,0,,,
,服務學習課程,,0,0,,,,,,
,通識課程(含核心必修、選修科目),,14,,,,,,,
系訂 必修 (語言 訓練 類),必修,EL1060 影像分析寫作,3,,,,,,,
,必修,EL1064 英文口語訓練,3,,,,,,,
,必修,EL1204 文獻蒐集與論證寫作,,3,,,,,,
,必修,EL2078 文學分析寫作,,,3,,,,,
,必修,EL2076 演說與溝通I,,,3,,,,,
,必選 一門,EL4201 研究、寫作與實踐,,,,,3,,,
,,EL4202 翻譯與媒介,,,,,,,3,
系訂 必修 (專業 學科 類),必修 三門,EL1201 比較觀念文化史,3,,,,,,,
,,EL1202 文學、歷史與哲思,3,,,,,,,
,,EL1203 殖民現代性,,3,,,,,,
,必選 四門,EL2005 英語語言學概論,,,3,,,,,
,,EL3201 英國文學研究,,,3,,,,,
,,EL3202 英語系研究,,,,,,3,,
,,EL3203 美國研究I,,,3,,,,,
,,EL3204 美國研究II,,,,,,3,,
備註,一 共同必修 1共同科目修習及其他畢業條件，請見應修科目表注意事項。 2共同必修之外文課程須選修本系開設之任何課程6學分。語言中心的「大一英文」不列入本系外文課程。 3選修「進修英文」取得之學分，不列入本系之畢業學分總數。 4通識核心必修四大領域中至少須修習一個領域。 二 系訂必修 1最低畢業學分128。 2必修及必選修科目計 103 學分，其中本系課程須修滿78 學分。 (1). 語言訓練類至少必選30學分（除必修及必選之18學分外，應另選本類課程至少12學分） (2). 專業學科類至少必選48學分（除必修及必選之21學分外，應另選本類課程至少27學分） 3其餘25學分可自由選修校內外課程（不含本校語言中心開設之「進修英文」），但外校課程以本校未開設之課程為 原則。 三 雙主修規定: 依本校「學生修讀雙主修辦法」辦理。,,,,,,,,,
