資訊電機學院 通訊工程學系 (114 學年度入學新生適用),,,,,,,,,,,,
科 目,課名及課號,,,,學分數,,,,,,,
,,,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,,,上,下,上,下,上,下,上,下
共 同 必 修,國文,,,,5,,,,,,,
,外文,,,,3,3,,,,,,
,體育課程,,,,0,0,0,0,0,,,
,服務學習課程,,,,0,0,,,,,,
,通識課程(含核心必修、選修科目),,,,14,,,,,,,
系 訂 必 修,微積分 MA1003/MA1004,,,,3,3,,,,,,
,普通物理 APH1031/PH1032,,,,3,3,,,,,,
,普物實驗 PH1003/PH1004,,,,1,1,,,,,,
,計算機概論 I CO1001,,,,3,,,,,,,
,計概實習 CO1005,,,,1,,,,,,,
,數位系統導論 CO1002,,,,3,,,,,,,
,數位邏輯實驗 CO1006,,,,,1,,,,,,
,工程數學-線性代數CO1007,,,,3,,,,,,,
,電路學 I CO2001,,,,,3,,,,,,
,電子學 I CO2005,,,,,,3,,,,,
,工程數學-微分方程CO2011,,,,,3,,,,,,
,工程數學-複變函數CO2013,,,,,,3,,,,,
,電子電路實驗 CO2010,,,,,,,1,,,,
,機率 CO3003,,,,,,,3,,,,
,訊號與系統 CO3004,,,,,,,3,,,,
,通訊實驗 I/II CO3001/CO3002,,,,,,,,1,1,,
,通訊原理 I/II CO3007/CO3008,,,,,,,,3,3,,
,專題實作 I CO3025,,,,,,,,3,,,
,專題實作 II CO3026,,,,,,,,,3,,
,專 長 課 程,Ａ 組 ( 電 通 訊 組 ),電子學 II CO2006,,,,,3,,,,
,,,電磁學 I CO2003,,,,3,,,,,
,,,電磁學 II CO2004 或EE2015,,,,,3,,,,
,,,六 選 二,1.電子學 III EE3001,,,,,3,,,
,,,,2.微波系統導論 EE4034,,,,,3,,,
,,,,3.天線工程導論 EE4038,,,,,3,,,
,,,,4.類比積體電路導論 EE4032,,,,,3,,,
,,,,5.超大型積體電路導論 EE3032,,,,,3,,,
,,,,6.超大型積體電路系統設計 EE4012,,,,,3,,,
,,Ｂ 通 組 訊 組 ( 資 ),網路概論 CO3005,,,,,3,,,,
,,,資料結構 CO2012 或CE2002或EE2007,,,,3,,,,,
,,,演算法 CO2014 或CE3005,,,,,3,,,,
